40
Properties = species:S:1:pos:R:3:force:R:3:Z:I:1 Generated=T by=T Multiwfn=T energy=-29654.71595871336 pbc="F F F"
C 4.65116481 -0.87536020 -0.95341924 -0.00226694 -0.00099080 -0.00055906 6
C 4.52871416 0.49243101 -0.68728938 0.00005086 0.00149402 -0.00094421 6
C 3.26602428 1.06821027 -0.44491504 -0.00220344 -0.00100710 0.00046995 6
C 2.10756895 0.23795426 -0.46852147 0.00088549 0.00012105 -0.00051350 6
C 2.23628978 -1.16665823 -0.73865675 -0.00233652 -0.00087927 -0.00137338 6
C 0.81754253 0.79900697 -0.22335366 -0.00073251 -0.00112995 -0.00083504 6
C -0.33709486 -0.02544311 -0.24421878 0.00058745 0.00076279 0.00046989 6
C -0.20822490 -1.44203732 -0.51056418 0.00041035 -0.00075174 -0.00044804 6
C -1.61796231 0.53646952 -0.00506386 0.00144475 -0.00111354 0.00017967 6
C -2.78251680 -0.28994893 -0.02617759 0.00101121 0.00063326 -0.00064607 6
C -2.65585484 -1.69653034 -0.28867969 0.00171472 -0.00130417 0.00123182 6
C 3.10362013 2.47040186 -0.17016319 0.00077735 -0.00052240 0.00171071 6
C 1.87274898 3.01144854 0.06298356 -0.00199070 -0.00032447 -0.00017298 6
C 0.68527413 2.20270826 0.04455761 0.00038752 -0.00008922 0.00160745 6
C -0.58839419 2.73941868 0.27780330 0.00106577 -0.00064226 0.00129856 6
C -1.74100773 1.94196827 0.25811528 0.00097517 0.00044331 0.00008731 6
C -4.06861504 0.27769285 0.21220290 0.00273272 -0.00088076 0.00201770 6
C -5.20371277 -0.55704036 0.18754495 0.00131738 0.00127599 -0.00119109 6
C -5.07773031 -1.92652785 -0.06749990 0.00297564 -0.00010711 -0.00060082 6
C -3.05132740 2.48294542 0.49324080 0.00214857 -0.00063234 -0.00005595 6
C -4.16150092 1.68965386 0.47109690 0.00176429 0.00008078 0.00147972 6
H 5.63922883 -1.30326291 -1.13949368 -0.00134962 0.00093043 -0.00002967 1
H 5.41616692 1.12956844 -0.66582235 -0.00158318 0.00157933 -0.00069867 1
H 3.99602191 3.10118840 -0.15149558 -0.00111236 -0.00210208 0.00025644 1
H 1.76916671 4.07959819 0.26975514 -0.00244522 -0.00066103 -0.00077185 1
H -0.68563356 3.80936816 0.48038613 0.00052594 0.00023695 -0.00040994 1
H -6.18864102 -0.12060444 0.37068333 0.00238125 0.00165301 0.00022019 1
H -5.96971461 -2.55746413 -0.08210656 0.00218467 0.00065759 -0.00099512 1
H -3.14191569 3.55388762 0.69174578 0.00324478 -0.00055310 0.00103770 1
H -5.15025955 2.11895683 0.65203807 0.00188472 -0.00127558 -0.00022374 1
C -3.82891595 -2.49257109 -0.30262036 0.00149124 0.00015077 0.00125573 6
H -3.73799609 -3.56308766 -0.50168954 0.00322905 -0.00097692 -0.00027485 1
C -1.37076562 -2.23948727 -0.52418143 0.00082527 0.00039384 -0.00107919 6
H -1.27737282 -3.30985720 -0.72461638 0.00223635 -0.00013334 0.00017201 1
C 1.07533810 -1.97456396 -0.74943996 -0.00002823 0.00087783 -0.00107097 6
H 1.17679776 -3.04387357 -0.95141418 -0.00125449 -0.00053597 0.00052944 1
C 3.52882960 -1.69601946 -0.98038746 -0.00010207 -0.00093866 -0.00067353 6
H 3.63201995 -2.76469351 -1.18239540 -0.00262417 -0.00126128 -0.00150250 1
O 3.64717200 -1.99323963 2.27018660 -0.01272120 0.01113231 0.00191542 8
N 3.58196532 -0.85334798 2.39780953 -0.00550185 -0.00361014 -0.00086955 7
40
Properties = species:S:1:pos:R:3:force:R:3:Z:I:1 Generated=T by=T Multiwfn=T energy=-29654.714100175694 pbc="F F F"
C 4.65541178 -0.85396122 -0.93132696 -0.00306938 -0.00205616 -0.00091423 6
C 4.52749828 0.51521806 -0.67519851 0.00014856 0.00204454 -0.00112193 6
C 3.26225020 1.08829203 -0.43964867 -0.00178306 -0.00142244 0.00106917 6
C 2.10706596 0.25332753 -0.45768062 0.00115571 -0.00048362 -0.00073708 6
C 2.24172406 -1.15316647 -0.71492227 -0.00070952 -0.00113962 -0.00248585 6
C 0.81417485 0.81192350 -0.22201404 -0.00080913 -0.00077298 -0.00200885 6
C -0.33716619 -0.01721521 -0.23736826 0.00041133 -0.00005127 0.00043267 6
C -0.20184143 -1.43639052 -0.48639012 0.00098761 -0.00060226 -0.00080625 6
C -1.62112921 0.54259940 -0.01023324 0.00087741 -0.00046393 0.00051715 6
C -2.78241410 -0.28852940 -0.02572717 0.00114013 0.00105333 -0.00232176 6
C -2.64913004 -1.69795233 -0.26901560 0.00125187 -0.00098036 0.00198181 6
C 3.09363807 2.49269464 -0.17974010 0.00314492 -0.00216842 0.00280039 6
C 1.85993629 3.03146004 0.04332802 -0.00368038 0.00080249 -0.00024806 6
C 0.67555086 2.21810594 0.02917068 0.00115299 -0.00109946 0.00242347 6
C -0.60115851 2.75277353 0.25008905 0.00076387 -0.00024785 0.00242481 6
C -1.75070062 1.95085554 0.23449421 0.00083263 0.00000447 -0.00045606 6
C -4.07179507 0.27728261 0.19891272 0.00268963 -0.00066612 0.00424751 6
C -5.20348441 -0.56222983 0.18080168 0.00109169 0.00202773 -0.00257393 6
C -5.07098955 -1.93459219 -0.05473214 0.00281474 0.00001368 -0.00023855 6
C -3.06424318 2.48998577 0.45547786 0.00239015 -0.00012346 -0.00058179 6
C -4.17134320 1.69231736 0.43799150 0.00150626 -0.00078311 0.00252323 6
H 5.64520285 -1.27937149 -1.11397837 -0.00134479 0.00138701 0.00088060 1
H 5.41248220 1.15588067 -0.65760283 -0.00115448 0.00180440 -0.00143761 1
H 3.98347565 3.12724420 -0.16509058 -0.00121623 -0.00330037 0.00054621 1
H 1.75156173 4.10138328 0.23818321 -0.00239431 -0.00080234 -0.00139709 1
H -0.70336707 3.82469448 0.43933354 0.00079848 0.00057562 -0.00088323 1
H -6.19094152 -0.12720458 0.35338614 0.00247710 0.00151695 0.00078182 1
H -5.96039281 -2.56927011 -0.06415118 0.00235960 0.00078521 -0.00172660 1
H -3.15987102 3.56322155 0.63873816 0.00335555 -0.00126730 0.00214924 1
H -5.16262999 2.12037079 0.60779946 0.00210753 -0.00195666 -0.00017494 1
C -3.81897912 -2.49876499 -0.27697980 0.00128730 -0.00021500 0.00234983 6
H -3.72303706 -3.57150742 -0.46106626 0.00336275 -0.00142953 -0.00055186 1
C -1.36104162 -2.23874448 -0.49282155 0.00069322 0.00017936 -0.00261286 6
H -1.26267609 -3.31121515 -0.67915428 0.00201353 -0.00007544 -0.00049489 1
C 1.08428798 -1.96615042 -0.71764362 -0.00122436 0.00089881 -0.00234413 6
H 1.19052144 -3.03709106 -0.90824172 -0.00158807 -0.00036834 0.00061352 1
C 3.53631114 -1.67916617 -0.95284911 -0.00061115 -0.00053582 -0.00053124 6
H 3.64384866 -2.74895661 -1.14621285 -0.00285146 -0.00219721 -0.00199158 1
O 3.66352953 -2.07453521 2.26289566 -0.01213371 0.00715569 0.00397847 8
N 3.59496776 -0.93665153 2.40481829 -0.00624459 0.00495981 -0.00107955 7
40
Properties = species:S:1:pos:R:3:force:R:3:Z:I:1 Generated=T by=T Multiwfn=T energy=-29654.711345567088 pbc="F F F"
C 4.65939441 -0.83169994 -0.91016333 -0.00094473 -0.00292936 -0.00181854 6
C 4.52603759 0.53873652 -0.66394811 -0.00030925 0.00375299 -0.00112337 6
C 3.25824612 1.10894151 -0.43485028 -0.00100396 -0.00273735 0.00152497 6
C 2.10636224 0.26926386 -0.44730324 0.00141498 -0.00040814 -0.00058092 6
C 2.24701596 -1.13892558 -0.69176463 -0.00161095 -0.00223953 -0.00307206 6
C 0.81063608 0.82518901 -0.22088112 -0.00112553 -0.00113555 -0.00306784 6
C -0.33739396 -0.00862305 -0.23080371 0.00192175 0.00053618 0.00112717 6
C -0.19556393 -1.43009244 -0.46257603 0.00038885 -0.00149623 -0.00080722 6
C -1.62438633 0.54884962 -0.01546451 0.00018615 -0.00054631 0.00102217 6
C -2.78233901 -0.28698674 -0.02521636 0.00159486 0.00181870 -0.00425487 6
C -2.64241840 -1.69894288 -0.24930643 0.00001064 -0.00122246 0.00219315 6
C 3.08345119 2.51527451 -0.18931114 0.00392499 -0.00281592 0.00403771 6
C 1.84694585 3.05150493 0.02412511 -0.00416766 0.00110146 -0.00142372 6
C 0.66567498 2.23354958 0.01402377 0.00214949 -0.00185706 0.00294494 6
C -0.61403299 2.76590807 0.22273137 0.00060082 0.00044891 0.00362392 6
C -1.76047549 1.95953854 0.21101764 0.00180239 -0.00013128 -0.00057444 6
C -4.07494365 0.27673578 0.18571068 0.00248898 -0.00105343 0.00587343 6
C -5.20320816 -0.56747435 0.17398517 0.00091104 0.00291692 -0.00416154 6
